If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
         5220300 function calls (5110457 primitive calls) in 8.625 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      653    0.002    0.000    0.010    0.000 pathlib.py:484(_parse_args)
     2280    0.002    0.000    0.002    0.000 feedparser.py:77(readline)
      283    0.002    0.000    0.008    0.000 quantity.py:412(__new__)
     3122    0.002    0.000    0.002    0.000 _docscrape.py:454(_str_header)
      318    0.002    0.000    0.003    0.000 __init__.py:107(read)
       24    0.002    0.000    0.004    0.000 util.py:242(_collapse_string_to_ranges)
  831/528    0.002    0.000    0.554    0.001 <frozen abc>:105(__new__)
     1535    0.002    0.000    0.002    0.000 functools.py:65(wraps)
      247    0.002    0.000    0.035    0.000 dataclasses.py:413(_create_fn)
     2474    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      195    0.002    0.000    0.002    0.000 colors.py:1280(<listcomp>)
